tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,,6,10,64,,
0,control_change,0,0,7,,,,,,,,,6,7,96,,
0,program_change,0,0,7,,,,,,,,40,6,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,control_change,0,0,15,,,,,,,,,14,10,64,,
0,control_change,0,0,6,,,,,,,,,5,10,64,,
0,control_change,0,0,6,,,,,,,,,5,7,96,,
0,program_change,0,0,6,,,,,,,,68,5,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,control_change,0,0,5,,,,,,,,,4,10,64,,
0,control_change,0,0,5,,,,,,,,,4,7,96,,
0,program_change,0,0,5,,,,,,,,56,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,48,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,program_change,0,0,8,,,,,,,,43,7,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,48,3,,,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,64,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,control_change,0,0,3,,,,,,,,,2,10,64,,
0,control_change,0,0,8,,,,,,,,,7,7,96,,
0,control_change,0,0,8,,,,,,,,,7,10,64,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,,,12,7,127,,
0,control_change,0,0,13,,,,,,,,,12,10,64,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,,11,10,64,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,control_change,0,0,14,,,,,,,,,13,7,127,,
0,control_change,0,0,14,,,,,,,,,13,10,64,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,,,14,7,127,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,,11,7,127,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,8,7,127,,
0,control_change,0,0,9,,,,,,,,,8,10,64,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,9,7,127,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,10,7,127,,
0,control_change,0,0,11,,,,,,,,,10,10,64,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,9,10,64,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,set_tempo,0,1,0,416666,,,,,,,,,,,,
0,key_signature,0,1,0,,D,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
